timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
57:51.4,20250,25,0,85,2.566289,,0,0,20252,0,25,20250.8,0.2,25,-2,0,0
57:54.0,20251,25,0,85,2.641269,,0,0,20250,0,25,20251,0,25,1,0,0
57:56.6,20251,25,0,85,2.566691,,0,0,20251,0,25,20251.2,0,25,0,0,0
57:59.3,20252,25,0,85,2.63667,,0,0,20251,0,25,20251.2,0,25,1,0,0
58:01.8,20251,25,0,85,2.567675,,0,0,20252,0,25,20251,0,25,-1,0,0
58:04.5,20251,25,0,85,2.639725,,0,0,20251,0,25,20251.2,0,25,0,0,0
58:07.0,20251,25,0,85,2.567077,,0,0,20251,0,25,20251.2,0,25,0,0,0
58:09.7,20252,25,0,85,2.641166,,0,0,20251,0,25,20251.4,0,25,1,0,0
58:12.2,20251,25,0,85,2.567261,,0,0,20252,0,25,20251.2,0,25,-1,0,0
58:14.9,20252,25,0,85,2.638976,,0,0,20251,0,25,20251.4,0,25,1,0,0
58:17.4,20251,25,0,85,2.567485,,0,0,20252,0,25,20251.4,0,25,-1,0,0
58:20.1,20252,25,0,85,2.642284,,0,0,20251,0,25,20251.6,0,25,1,0,0
58:22.7,20252,25,0,85,2.567918,,0,0,20252,0,25,20251.6,0,25,0,0,0
58:25.3,20252,25,0,85,2.63079,,0,0,20252,0,25,20251.8,0,25,0,0,0
58:27.9,20254,25,0,85,2.571894,,0,0,20252,0,25,20252.2,0,25,2,0,0
58:30.5,20252,25,0,85,2.644283,,0,0,20254,0,25,20252.4,0,25,-2,0,0
58:33.1,20254,25,0,85,2.568369,,0,0,20252,0,25,20252.8,0,25,2,0,0
58:35.7,20252,25,0,85,2.633911,,0,0,20254,0,25,20252.8,0,25,-2,0,0
58:38.3,20254,25,0,85,2.5681,,0,0,20252,0,25,20253.2,0,25,2,0,0
58:40.9,20254,25,0,85,2.632582,,0,0,20254,0,25,20253.2,0,25,0,0,0
58:43.5,20254,25,0,85,2.569006,,0,0,20254,0,25,20253.6,0,25,0,0,0
58:46.1,20254,25,0,85,2.631417,,0,0,20254,0,25,20253.6,0,25,0,0,0
58:48.7,20254,25,0,85,2.569972,,0,0,20254,0,25,20254,0,25,0,0,0
58:51.3,20255,25,0,85,2.633054,,0,0,20254,0,25,20254.2,0,25,1,0,0
58:53.9,20254,25,1,85,2.570634,854249,1,20254,20255,0,25,20254.2,0.2,25,-1,1,0
58:56.5,20254,25,0,85,2.629554,,0,0,20254,1,25,20254.2,0.2,25,0,-1,0
58:59.1,20255,25,1,85,2.56982,854249,1,20255,20254,0,25,20254.4,0.4,25,1,1,0
59:01.7,20255,25,1,85,2.63079,854249,1,20255,20255,1,25,20254.6,0.6,25,0,0,0
59:04.3,20255,25,1,85,2.571239,854249,1,20255,20255,1,25,20254.6,0.8,25,0,0,0
59:06.9,20255,25,1,85,2.631285,854249,1,20255,20255,1,25,20254.8,0.8,25,0,0,0
59:09.5,20255,25,0,85,2.570899,,0,0,20255,1,25,20255,0.8,25,0,-1,0
59:12.1,20254,25,0,85,2.633625,,0,0,20255,0,25,20254.8,0.6,25,-1,0,0
59:14.7,20255,25,0,85,2.571047,,0,0,20254,0,25,20254.8,0.4,25,1,0,0
59:17.3,20255,25,0,85,2.641754,,0,0,20255,0,25,20254.8,0.2,25,0,0,0
59:19.9,20254,25,0,85,2.572542,,0,0,20255,0,25,20254.6,0,25,-1,0,0
59:22.5,20255,25,0,85,2.636268,,0,0,20254,0,25,20254.6,0,25,1,0,0
59:25.1,20255,25,0,85,2.571728,,0,0,20255,0,25,20254.8,0,25,0,0,0
59:27.7,20255,25,0,85,2.643568,,0,0,20255,0,25,20254.8,0,25,0,0,0
59:30.3,20256,25,0,85,2.573291,,0,0,20255,0,25,20255,0,25,1,0,0
59:33.0,20255,25,0,85,2.64353,,0,0,20256,0,25,20255.2,0,25,-1,0,0
59:35.5,20255,25,0,85,2.572787,,0,0,20255,0,25,20255.2,0,25,0,0,0
59:38.2,20256,25,0,85,2.643249,,0,0,20255,0,25,20255.4,0,25,1,0,0
59:40.8,20256,25,1,85,2.572618,854249,1,20256,20256,0,25,20255.6,0.2,25,0,1,0
59:43.4,20256,25,0,85,2.640897,,0,0,20256,1,25,20255.6,0.2,25,0,-1,0
59:46.0,20255,25,0,85,2.572893,,0,0,20256,0,25,20255.6,0.2,25,-1,0,0
59:48.6,20255,25,0,85,2.639192,,0,0,20255,0,25,20255.6,0.2,25,0,0,0
59:51.2,20256,25,0,85,2.578512,,0,0,20255,0,25,20255.6,0.2,25,1,0,0
59:53.8,20256,25,0,85,2.631714,,0,0,20256,0,25,20255.6,0,25,0,0,0
59:56.4,20258,25,0,85,2.574619,,0,0,20256,0,25,20256,0,25,2,0,0
